sentence_id,FFD_avg,FFD_sum,GD_avg,GD_sum,GPT_avg,GPT_sum,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg
0,116.37,2909.23,132.6,3315.0,251.07,6276.64,201.44,5036.1,1.74,43.53,12.0
1,119.29,2027.95,136.34,2317.74,272.64,4634.8,230.1,3911.74,1.98,33.65,8.0
2,117.79,1766.79,133.68,2005.25,219.91,3298.6,186.56,2798.38,1.54,23.1,7.0
3,116.48,3144.91,137.17,3703.65,276.72,7471.5,235.36,6354.84,1.99,53.85,13.0
4,108.11,2486.57,122.1,2808.23,207.75,4778.17,175.68,4040.53,1.56,35.93,11.0
5,118.12,4370.38,137.38,5082.95,230.84,8541.02,201.17,7443.37,1.71,63.38,18.0
6,118.52,2962.89,142.67,3566.68,260.92,6522.91,194.39,4859.79,1.65,41.35,12.0
7,113.63,3749.67,143.86,4747.3,249.56,8235.36,215.08,7097.79,1.86,61.35,16.0
8,110.18,1432.29,130.17,1692.25,318.5,4140.48,232.93,3028.04,2.05,26.62,6.0
9,103.11,2268.44,116.52,2563.37,178.63,3929.78,147.09,3236.06,1.38,30.37,10.5
10,113.17,4639.84,134.48,5513.66,252.66,10358.89,199.09,8162.71,1.76,72.34,20.0
11,110.85,3436.26,125.45,3888.93,217.63,6746.51,174.82,5419.57,1.62,50.25,15.0
12,103.69,1140.55,126.16,1387.72,297.86,3276.48,208.75,2296.3,1.86,20.5,5.0
13,114.75,2295.01,130.64,2612.85,225.49,4509.9,201.31,4026.17,1.66,33.23,9.5
14,113.35,3627.06,131.87,4219.93,226.28,7241.11,176.13,5636.31,1.53,49.04,15.5
15,112.2,4039.16,127.38,4585.73,292.49,10529.69,216.04,7777.6,1.93,69.34,17.5
16,116.12,1277.32,133.21,1465.36,208.2,2290.21,187.24,2059.66,1.54,16.98,5.0
17,109.74,5267.45,125.0,5999.81,185.87,8921.56,157.89,7578.92,1.46,69.96,23.5
18,120.89,2296.95,133.83,2542.68,199.33,3787.19,170.51,3239.64,1.43,27.22,9.0
19,116.14,1277.57,140.71,1547.86,246.6,2712.63,199.96,2199.58,1.66,18.25,5.0
20,116.44,2678.2,130.22,2995.06,203.12,4671.67,164.52,3784.04,1.42,32.74,11.0
21,106.44,2660.97,115.02,2875.61,157.08,3927.1,138.08,3451.96,1.29,32.31,12.0
