sentence_id,FFD_avg,GD_avg,GPT_avg,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg,subject
0,142.44,152.61,180.89,161.89,2914.0,1.11,20.0,11.61,YAC
1,115.33,134.47,251.47,224.33,3365.0,2.2,33.0,8.2,YAC
2,145.18,188.64,235.55,206.55,2272.0,1.55,17.0,7.0,YAC
3,126.0,144.71,208.95,196.52,4127.0,1.57,33.0,13.1,YAC
4,121.61,188.33,215.61,195.61,3521.0,1.28,23.0,10.28,YAC
5,96.54,174.81,241.38,196.96,5121.0,1.58,41.0,17.23,YAC
6,124.83,140.92,249.08,177.58,2131.0,1.58,19.0,8.67,YAC
7,117.6,146.2,193.95,184.65,3693.0,1.55,31.0,16.1,YAC
8,121.27,126.18,260.27,236.73,2604.0,2.0,22.0,6.73,YAC
9,96.18,128.53,202.35,178.53,3035.0,1.53,26.0,10.88,YAC
10,99.52,152.31,203.76,197.97,5741.0,1.48,43.0,20.97,YAC
11,119.96,137.43,196.04,181.96,4185.0,1.57,36.0,14.7,YAC
12,123.1,123.1,236.0,228.5,2285.0,1.3,13.0,4.6,YAC
13,120.87,149.2,226.67,214.27,3214.0,1.67,25.0,8.73,YAC
14,141.0,204.62,277.75,261.06,4177.0,1.88,30.0,15.0,YAC
15,128.4,198.0,262.4,255.03,7651.0,1.87,56.0,16.3,YAC
16,208.0,208.0,286.78,276.78,2491.0,1.67,15.0,5.44,YAC
17,125.78,152.73,171.11,167.11,6183.0,1.35,50.0,23.43,YAC
18,152.14,156.21,229.57,185.57,2598.0,1.36,19.0,10.79,YAC
19,168.11,213.22,239.22,213.22,1919.0,1.11,10.0,4.78,YAC
20,139.67,171.87,178.67,171.87,2578.0,1.2,18.0,11.87,YAC
21,120.83,120.83,158.33,133.89,2410.0,1.11,20.0,12.89,YAC
22,101.36,170.45,197.91,178.55,1964.0,1.18,13.0,7.82,YAC
23,113.83,123.5,208.25,185.75,2229.0,1.42,17.0,8.5,YAC
24,97.0,111.53,158.21,154.16,2929.0,1.26,24.0,18.47,YAC
25,86.25,95.67,311.67,186.17,2234.0,1.67,20.0,7.25,YAC
26,132.92,179.54,320.23,294.62,3830.0,2.0,26.0,8.23,YAC
27,127.4,127.4,177.4,146.8,2202.0,1.27,19.0,9.27,YAC
28,142.95,151.26,221.26,194.76,7401.0,1.32,50.0,26.21,YAC
29,128.69,134.54,240.85,229.23,2980.0,2.0,26.0,7.69,YAC
30,118.0,143.18,215.73,175.18,1927.0,1.45,16.0,7.45,YAC
31,120.75,140.94,215.47,192.36,6925.0,1.42,51.0,25.75,YAC
32,108.33,121.83,170.92,148.5,1782.0,1.33,16.0,9.83,YAC
33,109.84,121.16,199.11,140.32,2666.0,1.21,23.0,11.21,YAC
34,115.3,149.2,281.2,232.0,2320.0,1.7,17.0,7.1,YAC
35,113.0,129.67,450.67,383.83,2303.0,2.17,13.0,4.33,YAC
36,199.67,226.5,253.0,253.0,1518.0,1.5,9.0,8.33,YAC
37,112.25,218.08,528.58,287.58,3451.0,1.92,23.0,6.83,YAC
38,112.35,134.35,425.9,196.7,3934.0,1.75,35.0,13.45,YAC
39,134.2,134.2,479.4,327.6,1638.0,2.4,12.0,3.6,YAC
40,113.17,113.17,288.67,204.0,1224.0,1.5,9.0,9.0,YAC
41,148.5,160.0,471.38,254.25,2034.0,2.0,16.0,14.0,YAC
42,132.58,190.08,311.42,295.58,3547.0,2.08,25.0,8.17,YAC
43,131.83,131.83,289.83,276.5,1659.0,1.33,8.0,4.33,YAC
44,113.0,122.12,223.38,159.38,2550.0,1.44,23.0,10.69,YAC
45,111.6,139.73,179.73,149.2,2238.0,1.4,21.0,14.0,YAC
46,104.14,134.71,202.14,180.79,2531.0,1.5,21.0,9.0,YAC
47,127.36,172.5,243.43,204.5,2863.0,1.5,21.0,13.29,YAC
48,120.1,163.6,264.5,257.9,2579.0,2.2,22.0,7.3,YAC
49,152.18,202.0,353.29,286.59,4872.0,2.06,35.0,13.18,YAC
50,137.33,153.9,204.81,196.52,4127.0,1.52,32.0,12.62,YAC
51,176.62,235.81,297.38,255.38,4086.0,1.5,24.0,8.75,YAC
52,194.0,288.8,288.8,288.8,2888.0,1.7,17.0,7.0,YAC
53,122.29,248.57,248.57,248.57,1740.0,1.57,11.0,5.57,YAC
54,121.83,129.54,158.08,150.71,3617.0,1.21,29.0,16.46,YAC
55,141.26,147.59,172.76,162.21,5515.0,1.21,41.0,21.47,YAC
56,129.9,162.76,211.52,187.86,3945.0,1.38,29.0,11.86,YAC
57,106.45,119.64,138.73,138.73,1526.0,1.27,14.0,8.55,YAC
58,97.14,144.43,198.57,189.57,1327.0,1.43,10.0,5.57,YAC
59,103.75,103.75,273.25,175.75,1406.0,1.62,13.0,4.12,YAC
60,139.0,187.33,221.33,221.33,2656.0,1.5,18.0,7.5,YAC
61,127.07,156.67,179.47,179.47,2692.0,1.2,18.0,11.47,YAC
62,253.75,367.0,367.0,367.0,1468.0,1.75,7.0,5.0,YAC
63,142.27,176.91,257.27,214.64,2361.0,1.55,17.0,5.55,YAC
64,121.14,199.86,235.43,199.86,1399.0,1.43,10.0,3.86,YAC
65,124.83,137.75,177.42,163.67,1964.0,1.33,16.0,8.42,YAC
66,192.0,257.5,327.5,270.38,2163.0,1.5,12.0,6.12,YAC
67,117.45,137.36,184.91,178.36,1962.0,1.55,17.0,10.0,YAC
68,119.5,119.5,189.33,189.33,1136.0,1.33,8.0,4.0,YAC
69,130.95,155.05,182.62,167.38,3515.0,1.33,28.0,12.29,YAC
70,127.12,127.12,157.5,143.56,2297.0,1.12,18.0,9.88,YAC
71,162.0,181.86,206.14,191.14,1338.0,1.29,9.0,4.0,YAC
72,178.08,178.08,220.0,220.0,2860.0,1.31,17.0,6.85,YAC
73,150.3,212.9,298.9,282.0,2820.0,1.7,17.0,6.0,YAC
74,124.68,170.68,238.16,206.53,3924.0,1.37,26.0,10.84,YAC
75,236.83,236.83,296.5,296.5,1779.0,1.17,7.0,3.5,YAC
76,141.67,181.0,227.22,227.22,2045.0,1.44,13.0,6.0,YAC
77,196.67,196.67,231.5,231.5,1389.0,1.17,7.0,3.5,YAC
78,154.71,183.64,203.0,203.0,2842.0,1.29,18.0,11.0,YAC
79,156.4,156.4,332.6,236.8,1184.0,1.4,7.0,2.0,YAC
80,119.14,176.29,227.64,176.29,2468.0,1.29,18.0,9.5,YAC
81,126.79,136.21,162.43,162.43,2274.0,1.21,17.0,10.36,YAC
82,128.75,176.12,236.0,225.88,1807.0,1.62,13.0,7.12,YAC
83,123.61,169.39,183.83,169.39,3049.0,1.33,24.0,12.06,YAC
84,155.05,166.37,183.0,166.37,3161.0,1.16,22.0,12.26,YAC
85,116.75,227.75,292.75,292.75,1171.0,2.0,8.0,4.5,YAC
86,135.22,193.89,309.44,295.56,2660.0,2.22,20.0,6.33,YAC
87,112.18,144.0,174.64,174.64,1921.0,1.27,14.0,9.55,YAC
88,121.31,149.15,181.08,181.08,2354.0,1.46,19.0,11.08,YAC
89,132.54,141.42,182.71,164.12,3939.0,1.25,30.0,14.0,YAC
90,120.06,120.06,180.29,174.24,2962.0,1.35,23.0,9.94,YAC
91,113.7,152.43,242.48,204.09,4694.0,1.57,36.0,15.91,YAC
92,99.0,168.75,182.5,182.5,1460.0,1.25,10.0,6.5,YAC
93,155.71,166.43,176.07,171.07,2395.0,1.21,17.0,13.43,YAC
94,176.31,187.62,241.92,209.92,2729.0,1.23,16.0,10.0,YAC
95,128.6,128.6,136.1,136.1,1361.0,1.1,11.0,8.3,YAC
96,129.79,154.86,220.71,214.0,2996.0,1.57,22.0,7.5,YAC
97,88.86,119.57,144.71,144.71,1013.0,1.57,11.0,5.71,YAC
98,122.3,132.7,189.6,189.6,1896.0,1.5,15.0,8.4,YAC
99,166.67,199.2,239.47,221.8,3327.0,1.53,23.0,10.07,YAC
100,117.75,126.75,212.12,212.12,1697.0,1.62,13.0,6.0,YAC
101,179.75,191.62,222.75,200.88,1607.0,1.25,10.0,5.25,YAC
102,147.61,172.87,208.17,198.48,4565.0,1.35,31.0,15.74,YAC
103,109.25,113.92,148.25,141.17,1694.0,1.25,15.0,8.17,YAC
104,124.47,139.2,184.0,164.53,2468.0,1.33,20.0,9.33,YAC
105,160.83,189.67,307.17,300.42,3605.0,2.0,24.0,5.83,YAC
106,141.17,182.08,194.58,188.33,2260.0,1.25,15.0,8.17,YAC
107,133.0,142.42,179.42,179.42,2153.0,1.33,16.0,8.67,YAC
108,158.17,176.83,217.83,205.67,1234.0,1.33,8.0,3.5,YAC
109,105.55,182.18,244.82,216.55,2382.0,1.73,19.0,6.64,YAC
110,137.45,170.18,223.27,181.0,1991.0,1.36,15.0,6.73,YAC
111,106.8,133.3,209.3,144.1,1441.0,1.2,12.0,5.0,YAC
112,149.67,166.33,242.0,242.0,2178.0,1.56,14.0,7.33,YAC
113,113.62,150.75,209.75,150.75,1206.0,1.12,9.0,6.0,YAC
114,113.69,113.69,159.69,135.07,3917.0,1.14,33.0,17.38,YAC
115,104.86,104.86,339.86,266.43,1865.0,2.29,16.0,3.57,YAC
116,106.43,106.43,203.71,166.29,2328.0,1.64,23.0,8.07,YAC
117,123.81,131.12,131.12,131.12,2098.0,1.06,17.0,16.06,YAC
118,113.25,113.25,217.0,187.0,748.0,1.5,6.0,3.5,YAC
119,93.62,93.62,294.77,158.31,2058.0,1.69,22.0,8.08,YAC
120,230.86,264.29,264.29,264.29,1850.0,1.14,8.0,6.29,YAC
121,111.5,117.83,168.67,162.08,1945.0,1.25,15.0,9.92,YAC
122,144.67,144.67,179.33,144.67,868.0,1.0,6.0,5.0,YAC
123,96.0,191.57,336.86,228.86,1602.0,1.71,12.0,5.0,YAC
124,115.0,140.14,181.36,174.43,2442.0,1.29,18.0,9.86,YAC
125,127.3,160.9,192.9,160.9,1609.0,1.2,12.0,9.0,YAC
126,108.0,136.38,219.25,219.25,1754.0,1.88,15.0,7.25,YAC
127,135.29,195.0,255.43,255.43,1788.0,1.57,11.0,5.86,YAC
128,107.16,157.32,183.74,183.74,3491.0,1.42,27.0,15.0,YAC
129,169.3,213.3,213.3,213.3,2133.0,1.3,13.0,10.1,YAC
130,114.08,166.58,177.33,166.58,1999.0,1.42,17.0,9.67,YAC
131,108.0,162.5,298.75,298.75,1195.0,2.5,10.0,4.0,YAC
132,119.82,128.82,152.36,137.45,1512.0,1.18,13.0,7.45,YAC
133,100.54,106.38,128.46,128.46,1670.0,1.15,15.0,10.69,YAC
134,108.2,108.2,117.95,108.2,2164.0,1.0,20.0,14.5,YAC
135,117.5,117.5,199.2,188.7,1887.0,1.7,17.0,8.0,YAC
136,117.08,124.69,145.08,124.69,1621.0,1.08,14.0,10.23,YAC
137,103.67,103.67,172.83,160.83,965.0,1.17,7.0,5.33,YAC
138,91.23,107.08,198.08,186.15,2420.0,1.54,20.0,10.46,YAC
139,98.44,108.67,221.67,221.67,1995.0,1.67,15.0,6.33,YAC
140,118.75,179.38,179.38,179.38,1435.0,1.38,11.0,6.62,YAC
141,102.67,112.53,147.6,127.53,1913.0,1.2,18.0,12.07,YAC
142,140.57,145.93,159.64,159.64,2235.0,1.14,16.0,12.36,YAC
143,103.47,111.6,158.27,128.53,1928.0,1.2,18.0,12.33,YAC
144,101.0,119.3,162.6,128.3,1283.0,1.3,13.0,6.4,YAC
145,92.0,92.0,180.14,170.71,1195.0,1.14,8.0,7.43,YAC
146,103.07,123.27,174.13,146.0,2190.0,1.4,21.0,12.33,YAC
147,96.36,102.5,102.5,102.5,1435.0,1.07,15.0,11.21,YAC
148,110.15,126.92,189.54,160.38,2085.0,1.54,20.0,10.54,YAC
149,98.0,113.0,124.8,118.6,1779.0,1.27,19.0,11.73,YAC
150,94.25,94.25,314.75,290.0,1160.0,2.0,8.0,2.25,YAC
151,110.5,113.67,132.67,119.78,2156.0,1.11,20.0,13.89,YAC
152,116.88,155.5,215.62,185.38,1483.0,1.38,11.0,6.0,YAC
153,122.0,124.17,140.13,126.74,2915.0,1.09,25.0,13.57,YAC
154,121.8,121.8,194.2,169.6,848.0,1.4,7.0,4.0,YAC
155,94.0,94.0,150.5,133.25,1066.0,1.25,10.0,7.75,YAC
156,130.22,139.67,171.0,139.67,1257.0,1.11,10.0,6.0,YAC
157,110.0,117.06,127.76,117.06,1990.0,1.06,18.0,11.12,YAC
158,124.88,134.12,141.88,134.12,1073.0,1.12,9.0,5.25,YAC
159,100.24,100.24,158.05,131.52,2762.0,1.29,27.0,12.19,YAC
160,128.44,128.44,139.11,128.44,1156.0,1.0,9.0,7.22,YAC
161,90.64,94.79,120.79,106.29,1488.0,1.21,17.0,9.5,YAC
162,111.27,111.27,136.64,117.18,1289.0,1.09,12.0,9.55,YAC
163,214.0,214.0,214.0,214.0,642.0,1.0,3.0,4.0,YAC
164,110.0,120.0,167.71,167.71,1174.0,1.29,9.0,4.86,YAC
165,96.77,125.85,134.54,130.19,3385.0,1.19,31.0,21.46,YAC
166,134.0,134.0,203.89,190.56,1715.0,1.33,12.0,7.22,YAC
167,113.68,113.68,136.95,113.68,2160.0,1.0,19.0,14.84,YAC
168,118.37,126.84,126.84,126.84,2410.0,1.11,21.0,16.0,YAC
169,96.61,131.61,141.0,135.28,2435.0,1.39,25.0,14.0,YAC
170,103.38,118.56,138.06,118.56,1897.0,1.12,18.0,11.0,YAC
171,104.77,116.46,175.0,138.77,1804.0,1.31,17.0,12.15,YAC
172,94.89,99.67,144.11,112.5,2025.0,1.17,21.0,15.22,YAC
173,113.5,118.0,142.36,128.86,1804.0,1.14,16.0,12.21,YAC
174,96.71,96.71,112.21,112.21,1571.0,1.07,15.0,14.86,YAC
175,106.0,113.75,127.06,113.75,1820.0,1.12,18.0,12.69,YAC
176,183.5,183.5,275.0,275.0,550.0,1.5,3.0,3.5,YAC
177,131.5,131.5,209.67,194.83,1169.0,1.5,9.0,2.5,YAC
178,132.5,149.33,199.83,199.83,2398.0,1.75,21.0,8.67,YAC
179,102.88,130.38,191.5,140.25,1122.0,1.25,10.0,5.25,YAC
180,93.62,93.62,124.85,108.92,1416.0,1.08,14.0,10.62,YAC
181,116.64,116.64,166.0,137.86,1930.0,1.21,17.0,8.29,YAC
182,97.69,101.31,128.0,115.06,1841.0,1.19,19.0,9.62,YAC
183,92.58,107.08,127.25,127.25,1527.0,1.17,14.0,10.75,YAC
184,152.86,152.86,152.86,152.86,1070.0,1.0,7.0,7.29,YAC
185,98.44,98.44,108.22,98.44,886.0,1.0,9.0,6.89,YAC
186,89.6,93.08,115.28,97.12,2428.0,1.08,27.0,18.08,YAC
187,92.33,149.83,149.83,149.83,899.0,1.17,7.0,5.83,YAC
188,118.5,118.5,163.67,163.67,982.0,1.17,7.0,5.5,YAC
189,103.0,103.0,108.07,103.0,1442.0,1.0,14.0,11.79,YAC
190,111.0,115.64,126.0,120.36,1685.0,1.14,16.0,11.07,YAC
191,97.2,97.2,124.7,118.3,1183.0,1.1,11.0,7.3,YAC
192,95.87,95.87,113.47,95.87,1438.0,1.0,15.0,12.33,YAC
193,114.17,126.67,159.67,126.67,760.0,1.17,7.0,4.67,YAC
194,132.89,132.89,132.89,132.89,1196.0,1.0,9.0,7.78,YAC
195,104.23,110.85,110.85,110.85,1441.0,1.08,14.0,10.85,YAC
196,110.0,110.0,121.31,114.38,1487.0,1.08,14.0,8.23,YAC
197,97.0,147.67,147.67,147.67,886.0,1.17,7.0,5.17,YAC
198,101.45,110.82,121.55,121.55,1337.0,1.18,13.0,7.82,YAC
199,127.87,137.33,151.53,137.33,2060.0,1.13,17.0,12.8,YAC
200,101.57,116.29,116.29,116.29,814.0,1.14,8.0,8.29,YAC
300,89.46,89.46,122.42,110.92,2884.0,1.19,31.0,17.0,YAC
301,109.42,123.33,206.92,137.25,1647.0,1.33,16.0,9.0,YAC
302,132.3,140.0,140.0,140.0,1400.0,1.1,11.0,7.8,YAC
303,137.25,146.75,165.33,156.08,1873.0,1.17,14.0,7.92,YAC
304,113.25,113.25,132.06,126.62,2026.0,1.12,18.0,11.19,YAC
305,101.44,125.22,177.33,163.78,1474.0,1.33,12.0,6.89,YAC
306,121.56,164.12,164.12,164.12,2626.0,1.25,20.0,12.81,YAC
307,80.47,87.2,242.93,158.93,2384.0,1.53,23.0,12.07,YAC
308,111.6,111.6,190.4,183.1,1831.0,1.4,14.0,6.3,YAC
309,94.82,94.82,110.04,101.21,2834.0,1.07,30.0,23.5,YAC
310,126.33,131.6,148.53,131.6,1974.0,1.07,16.0,13.47,YAC
311,162.22,170.22,170.22,170.22,1532.0,1.11,10.0,5.78,YAC
312,95.29,103.53,184.29,133.82,2275.0,1.41,24.0,11.0,YAC
