eye_metric,umr_feature,feature_set,coef,p_value,intercept,random_effect_var,n_obs,n_subjects
FFD_avg,num_nodes,num_nodes,-0.54,0.0,124.4886,170.8591,6019,18
FFD_avg,num_edges,num_edges,-0.2775,0.0,123.5903,170.7704,6019,18
FFD_avg,max_depth,max_depth,-1.7011,0.0,123.9664,171.0188,6019,18
FFD_avg,avg_depth,avg_depth,-3.3919,0.0,124.6524,170.9454,6019,18
FFD_avg,num_predicates,num_predicates,-1.5644,0.0,122.7259,171.49,6019,18
FFD_avg,num_entities,num_entities,-0.5224,0.0,122.3261,170.9898,6019,18
FFD_avg,num_reentrancies,num_reentrancies,-2.1012,0.0,120.3548,171.2696,6019,18
FFD_avg,avg_degree,avg_degree,-7.1634,0.0,136.4384,170.8266,6019,18
FFD_avg,max_degree,max_degree,-2.1899,0.0,128.4576,170.8731,6019,18
FFD_sum,num_nodes,num_nodes,99.5692,0.0,125.9381,87124.025,6083,18
FFD_sum,num_edges,num_edges,53.334,0.0,239.3818,86785.2113,6083,18
FFD_sum,max_depth,max_depth,214.9212,0.0,627.7752,85899.0719,6083,18
FFD_sum,avg_depth,avg_depth,458.6367,0.0,472.7635,85969.6874,6083,18
FFD_sum,num_predicates,num_predicates,201.268,0.0,772.5457,99716.1661,6083,18
FFD_sum,num_entities,num_entities,111.9522,0.0,364.5805,86959.8264,6083,18
FFD_sum,num_reentrancies,num_reentrancies,313.4273,0.0,1007.7075,86228.7408,6083,18
FFD_sum,avg_degree,avg_degree,846.4969,0.0,-788.8134,85500.7704,6083,18
FFD_sum,max_degree,max_degree,316.1438,0.0,-146.5321,86148.7665,6083,18
GD_avg,num_nodes,num_nodes,-0.7745,0.0,146.3054,354.3018,6019,18
GD_avg,num_edges,num_edges,-0.3806,0.0,144.6054,353.9492,6019,18
GD_avg,max_depth,max_depth,-1.9709,0.0,143.6341,354.0971,6019,18
GD_avg,avg_depth,avg_depth,-4.0383,0.0,144.6735,354.0519,6019,18
GD_avg,num_predicates,num_predicates,-2.1301,0.0,143.3608,354.8541,6019,18
GD_avg,num_entities,num_entities,-0.7704,0.0,143.4198,354.0839,6019,18
GD_avg,num_reentrancies,num_reentrancies,-3.5184,0.0,141.1852,354.517,6019,18
GD_avg,avg_degree,avg_degree,-8.9571,0.0,159.8691,353.9252,6019,18
GD_avg,max_degree,max_degree,-3.5794,0.0,154.2949,353.8671,6019,18
GD_sum,num_nodes,num_nodes,114.3459,0.0,162.7139,172981.5785,6083,18
GD_sum,num_edges,num_edges,61.5409,0.0,286.0434,172636.6295,6083,18
GD_sum,max_depth,max_depth,251.9626,0.0,717.9087,171438.0842,6083,18
GD_sum,avg_depth,avg_depth,533.8685,0.0,544.8032,171374.9941,6083,18
GD_sum,num_predicates,num_predicates,230.9832,0.0,905.8509,171675.8088,6083,18
GD_sum,num_entities,num_entities,128.586,0.0,436.5735,172768.0695,6083,18
GD_sum,num_reentrancies,num_reentrancies,354.5568,0.0,1183.9707,171878.549,6083,18
GD_sum,avg_degree,avg_degree,993.8099,0.0,-946.6838,170814.7347,6083,18
GD_sum,max_degree,max_degree,356.758,0.0,-117.1661,171731.1832,6083,18
GPT_avg,num_nodes,num_nodes,-1.2883,0.0,227.2885,628.4836,6019,18
GPT_avg,num_edges,num_edges,-0.4982,0.0,221.2492,628.9193,6019,18
GPT_avg,max_depth,max_depth,-4.8177,0.0,229.1569,628.7219,6019,18
GPT_avg,avg_depth,avg_depth,-8.0214,0.0,227.5191,628.6419,6019,18
GPT_avg,num_predicates,num_predicates,-3.9206,0.0,223.7731,628.317,6019,18
GPT_avg,num_entities,num_entities,-1.2125,0.0,221.7833,628.4912,6019,18
GPT_avg,num_reentrancies,num_reentrancies,-5.4258,0.0,218.0873,628.1219,6019,18
GPT_avg,avg_degree,avg_degree,-4.7268,0.157406,222.232,628.6644,6019,18
GPT_avg,max_degree,max_degree,-7.5997,0.0,249.1953,629.4634,6019,18
GPT_sum,num_nodes,num_nodes,183.1842,0.0,197.5304,416641.1749,6083,18
GPT_sum,num_edges,num_edges,100.3189,0.0,353.8807,459323.429,6083,18
GPT_sum,max_depth,max_depth,377.6362,0.0,1193.8202,407907.7725,6083,18
GPT_sum,avg_depth,avg_depth,828.7495,0.0,869.6975,409951.5589,6083,18
GPT_sum,num_predicates,num_predicates,361.2116,0.0,1420.452,409012.4023,6083,18
GPT_sum,num_entities,num_entities,207.5737,0.0,620.1479,415891.1394,6083,18
GPT_sum,num_reentrancies,num_reentrancies,579.4907,0.0,1815.2752,411050.8699,6083,18
GPT_sum,avg_degree,avg_degree,1688.7436,0.0,-1842.079,405111.1441,6083,18
GPT_sum,max_degree,max_degree,563.0478,0.0,-206.3123,409739.4064,6083,18
TRT_avg,num_nodes,num_nodes,-1.1131,0.0,194.9452,518.0546,6019,18
TRT_avg,num_edges,num_edges,-0.4732,0.0,190.7432,518.2826,6019,18
TRT_avg,max_depth,max_depth,-3.4452,0.0,193.6177,518.1147,6019,18
