eye_metric,umr_feature,feature_set,coef,p_value,intercept,random_effect_var,n_obs,n_subjects
FFD,depth,depth,0.2122,0.232992,117.3338,161.2373,44042,18
FFD,degree,degree,-1.2413,0.0,121.1598,160.9678,44042,18
FFD,in_degree,in_degree,-0.9016,0.137274,118.665,161.2383,44042,18
FFD,out_degree,out_degree,-1.1367,0.0,119.7049,159.892,44042,18
FFD,depth,depth+degree,0.1562,0.380211,120.8377,160.9864,44042,18
FFD,degree,depth+degree,-1.2328,0.0,120.8377,160.9864,44042,18
FFD,depth,depth+in_degree,0.2394,0.180366,118.2866,161.2636,44042,18
FFD,in_degree,depth+in_degree,-0.979,0.108198,118.2866,161.2636,44042,18
FFD,depth,depth+out_degree,0.1298,0.466828,119.4373,159.9243,44042,18
FFD,out_degree,depth+out_degree,-1.1255,0.0,119.4373,159.9243,44042,18
FFD,degree,degree+in_degree,-1.2251,0.0,121.4776,160.9814,44042,18
FFD,in_degree,degree+in_degree,-0.353,0.564514,121.4776,160.9814,44042,18
FFD,degree,degree+out_degree,-1.5781,0.010416,121.4776,160.9814,44042,18
FFD,out_degree,degree+out_degree,0.353,0.564514,121.4776,160.9814,44042,18
FFD,in_degree,in_degree+out_degree,-1.5781,0.010416,121.4776,160.9814,44042,18
FFD,out_degree,in_degree+out_degree,-1.2251,0.0,121.4776,160.9814,44042,18
GD,depth,depth,1.0476,6.5e-05,136.191,381.7667,44042,18
GD,degree,degree,-2.5388,0.0,145.1901,380.6059,44042,18
GD,in_degree,in_degree,-2.9689,0.000902,141.2421,381.6125,44042,18
GD,out_degree,out_degree,-2.2108,0.0,142.0172,380.5416,44042,18
GD,depth,depth+degree,0.9347,0.000366,143.2629,380.9589,44042,18
GD,degree,depth+degree,-2.4882,0.0,143.2629,380.9589,44042,18
GD,depth,depth+in_degree,1.1404,1.5e-05,139.4394,382.0552,44042,18
GD,in_degree,depth+in_degree,-3.3376,0.000203,139.4394,382.0552,44042,18
GD,depth,depth+out_degree,0.8915,0.000696,140.179,380.8918,44042,18
GD,out_degree,depth+out_degree,-2.1338,0.0,140.179,380.8918,44042,18
GD,degree,degree+in_degree,-2.4529,0.0,146.8736,380.7735,44042,18
GD,in_degree,degree+in_degree,-1.8706,0.038315,146.8736,380.7735,44042,18
GD,degree,degree+out_degree,-4.3235,2e-06,146.8736,380.7735,44042,18
GD,out_degree,degree+out_degree,1.8706,0.038315,146.8736,380.7735,44042,18
GD,in_degree,in_degree+out_degree,-4.3235,2e-06,146.8736,380.7735,44042,18
GD,out_degree,in_degree+out_degree,-2.4529,0.0,146.8736,380.7735,44042,18
GPT,depth,depth,1.0342,0.290827,223.3331,1003.0659,44042,18
GPT,degree,degree,-1.5027,0.159847,229.4517,1002.9144,44042,18
GPT,in_degree,in_degree,-10.7651,0.001264,236.3607,1003.3371,44042,18
GPT,out_degree,out_degree,-0.3951,0.710261,225.9943,1002.5001,44042,18
GPT,depth,depth+degree,0.9684,0.323206,227.455,1003.5218,44042,18
GPT,degree,depth+degree,-1.4503,0.175446,227.455,1003.5218,44042,18
GPT,depth,depth+in_degree,1.3456,0.171237,234.2336,1004.2511,44042,18
GPT,in_degree,depth+in_degree,-11.2002,0.00084,234.2336,1004.2511,44042,18
GPT,depth,depth+out_degree,1.0117,0.302995,223.9082,1003.1304,44042,18
GPT,out_degree,depth+out_degree,-0.3077,0.772986,223.9082,1003.1304,44042,18
GPT,degree,degree+in_degree,-1.0298,0.340377,238.725,1003.6501,44042,18
GPT,in_degree,degree+in_degree,-10.304,0.002257,238.725,1003.6501,44042,18
GPT,degree,degree+out_degree,-11.3338,0.000833,238.725,1003.6501,44042,18
GPT,out_degree,degree+out_degree,10.304,0.002257,238.725,1003.6501,44042,18
GPT,in_degree,in_degree+out_degree,-11.3338,0.000833,238.725,1003.6501,44042,18
GPT,out_degree,in_degree+out_degree,-1.0298,0.340377,238.725,1003.6501,44042,18
TRT,depth,depth,1.0965,0.014294,184.8445,657.8174,44042,18
TRT,degree,degree,-4.8676,0.0,200.3538,657.5795,44042,18
TRT,in_degree,in_degree,-6.8167,8e-06,193.9384,657.8296,44042,18
TRT,out_degree,out_degree,-4.1247,0.0,194.0732,656.9885,44042,18
TRT,depth,depth+degree,0.8777,0.049897,198.544,658.231,44042,18
TRT,degree,depth+degree,-4.8201,0.0,198.544,658.231,44042,18
TRT,depth,depth+in_degree,1.2976,0.003891,191.8871,658.8561,44042,18
TRT,in_degree,depth+in_degree,-7.2362,2e-06,191.8871,658.8561,44042,18
TRT,depth,depth+out_degree,0.7997,0.074675,192.4243,657.5864,44042,18
TRT,out_degree,depth+out_degree,-4.0557,0.0,192.4243,657.5864,44042,18
TRT,degree,degree+in_degree,-4.6503,0.0,204.6147,658.1301,44042,18
TRT,in_degree,degree+in_degree,-4.7345,0.002119,204.6147,658.1301,44042,18
TRT,degree,degree+out_degree,-9.3848,0.0,204.6147,658.1301,44042,18
TRT,out_degree,degree+out_degree,4.7345,0.002119,204.6147,658.1301,44042,18
TRT,in_degree,in_degree+out_degree,-9.3848,0.0,204.6147,658.1301,44042,18
TRT,out_degree,in_degree+out_degree,-4.6503,0.0,204.6147,658.1301,44042,18
nFix,depth,depth,0.0106,0.000449,1.5486,0.0529,44042,18
nFix,degree,degree,-0.0216,0.0,1.6285,0.0529,44042,18
nFix,in_degree,in_degree,-0.0453,1.2e-05,1.6154,0.0528,44042,18
nFix,out_degree,out_degree,-0.0168,0.0,1.598,0.0529,44042,18
nFix,depth,depth+degree,0.0097,0.001415,1.6085,0.0529,44042,18
nFix,degree,depth+degree,-0.0211,0.0,1.6085,0.0529,44042,18
nFix,depth,depth+in_degree,0.012,8e-05,1.5964,0.0529,44042,18
nFix,in_degree,depth+in_degree,-0.0492,2e-06,1.5964,0.0529,44042,18
nFix,depth,depth+out_degree,0.0095,0.001838,1.5784,0.0529,44042,18
