sentence_id,FFD_avg,GD_avg,GPT_avg,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg
0,116.37,132.6,251.07,201.44,5036.1,1.74,43.53,12.0
1,119.29,136.34,272.64,230.1,3911.74,1.98,33.65,8.0
2,117.79,133.68,219.91,186.56,2798.38,1.54,23.1,7.0
3,116.48,137.17,276.72,235.36,6354.84,1.99,53.85,13.0
4,108.11,122.1,207.75,175.68,4040.53,1.56,35.93,11.0
5,118.12,137.38,230.84,201.17,7443.37,1.71,63.38,18.0
6,118.52,142.67,260.92,194.39,4859.79,1.65,41.35,12.0
7,113.63,143.86,249.56,215.08,7097.79,1.86,61.35,16.0
8,110.18,130.17,318.5,232.93,3028.04,2.05,26.62,6.0
9,103.11,116.52,178.63,147.09,3236.06,1.38,30.37,10.5
10,113.17,134.48,252.66,199.09,8162.71,1.76,72.34,20.0
11,110.85,125.45,217.63,174.82,5419.57,1.62,50.25,15.0
12,103.69,126.16,297.86,208.75,2296.3,1.86,20.5,5.0
13,114.75,130.64,225.49,201.31,4026.17,1.66,33.23,9.5
14,113.35,131.87,226.28,176.13,5636.31,1.53,49.04,15.5
15,112.2,127.38,292.49,216.04,7777.6,1.93,69.34,17.5
16,116.12,133.21,208.2,187.24,2059.66,1.54,16.98,5.0
17,109.74,125.0,185.87,157.89,7578.92,1.46,69.96,23.5
18,120.89,133.83,199.33,170.51,3239.64,1.43,27.22,9.0
19,116.14,140.71,246.6,199.96,2199.58,1.66,18.25,5.0
20,116.44,130.22,203.12,164.52,3784.04,1.42,32.74,11.0
21,106.44,115.02,157.08,138.08,3451.96,1.29,32.31,12.0
22,103.54,121.9,287.53,207.81,3324.96,1.89,30.19,7.5
23,107.2,118.54,200.88,164.42,2959.57,1.49,26.74,8.5
24,104.1,118.28,190.01,156.76,5329.79,1.48,50.49,16.5
25,107.57,121.21,271.0,202.18,3234.84,1.77,28.36,7.5
26,115.98,137.73,266.48,204.02,3468.39,1.63,27.76,8.0
27,114.2,129.52,239.06,183.75,3858.66,1.64,34.43,10.0
28,111.94,124.6,222.77,176.38,9348.09,1.6,84.88,26.0
29,119.94,135.44,286.18,230.61,3920.37,2.01,34.1,8.0
30,120.61,141.13,232.35,196.73,2951.01,1.6,24.05,7.0
31,110.06,126.63,222.1,191.53,9768.03,1.75,89.02,25.0
32,111.06,127.33,251.55,194.48,3695.11,1.68,31.85,9.0
33,112.09,132.91,295.53,235.06,6346.71,2.1,56.83,13.0
34,116.61,127.84,209.23,186.88,2616.28,1.51,21.12,6.5
35,120.44,157.26,294.88,218.83,1750.65,1.62,12.98,3.5
36,119.22,135.07,241.25,190.25,2853.69,1.58,23.75,7.0
37,117.59,141.92,284.13,208.7,3130.56,1.74,26.12,7.0
38,105.98,126.14,240.01,180.83,5605.66,1.66,51.45,15.0
39,124.07,139.77,385.28,242.15,2421.53,1.89,18.93,4.5
40,111.14,121.95,192.05,172.22,2927.77,1.49,25.25,8.0
41,120.56,135.43,228.09,193.25,4831.35,1.66,41.38,12.0
42,114.04,139.05,227.12,189.28,3028.55,1.6,25.62,7.5
43,141.97,156.3,272.33,200.9,1607.24,1.41,11.28,3.5
