sentence_id,FFD_avg,FFD_sum,GD_avg,GD_sum,GPT_avg,GPT_sum,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg,subject
0,142.44,2564.0,152.61,2747.0,180.89,3256.0,161.89,2914.0,1.11,20.0,11.61,YAC
1,115.33,1730.0,134.47,2017.0,251.47,3772.0,224.33,3365.0,2.2,33.0,8.2,YAC
2,145.18,1597.0,188.64,2075.0,235.55,2591.0,206.55,2272.0,1.55,17.0,7.0,YAC
3,126.0,2646.0,144.71,3039.0,208.95,4388.0,196.52,4127.0,1.57,33.0,13.1,YAC
4,121.61,2189.0,188.33,3390.0,215.61,3881.0,195.61,3521.0,1.28,23.0,10.28,YAC
5,96.54,2510.0,174.81,4545.0,241.38,6276.0,196.96,5121.0,1.58,41.0,17.23,YAC
6,124.83,1498.0,140.92,1691.0,249.08,2989.0,177.58,2131.0,1.58,19.0,8.67,YAC
7,117.6,2352.0,146.2,2924.0,193.95,3879.0,184.65,3693.0,1.55,31.0,16.1,YAC
8,121.27,1334.0,126.18,1388.0,260.27,2863.0,236.73,2604.0,2.0,22.0,6.73,YAC
9,96.18,1635.0,128.53,2185.0,202.35,3440.0,178.53,3035.0,1.53,26.0,10.88,YAC
10,99.52,2886.0,152.31,4417.0,203.76,5909.0,197.97,5741.0,1.48,43.0,20.97,YAC
11,119.96,2759.0,137.43,3161.0,196.04,4509.0,181.96,4185.0,1.57,36.0,14.7,YAC
12,123.1,1231.0,123.1,1231.0,236.0,2360.0,228.5,2285.0,1.3,13.0,4.6,YAC
13,120.87,1813.0,149.2,2238.0,226.67,3400.0,214.27,3214.0,1.67,25.0,8.73,YAC
14,141.0,2256.0,204.62,3274.0,277.75,4444.0,261.06,4177.0,1.88,30.0,15.0,YAC
15,128.4,3852.0,198.0,5940.0,262.4,7872.0,255.03,7651.0,1.87,56.0,16.3,YAC
16,208.0,1872.0,208.0,1872.0,286.78,2581.0,276.78,2491.0,1.67,15.0,5.44,YAC
17,125.78,4654.0,152.73,5651.0,171.11,6331.0,167.11,6183.0,1.35,50.0,23.43,YAC
18,152.14,2130.0,156.21,2187.0,229.57,3214.0,185.57,2598.0,1.36,19.0,10.79,YAC
19,168.11,1513.0,213.22,1919.0,239.22,2153.0,213.22,1919.0,1.11,10.0,4.78,YAC
20,139.67,2095.0,171.87,2578.0,178.67,2680.0,171.87,2578.0,1.2,18.0,11.87,YAC
21,120.83,2175.0,120.83,2175.0,158.33,2850.0,133.89,2410.0,1.11,20.0,12.89,YAC
22,101.36,1115.0,170.45,1875.0,197.91,2177.0,178.55,1964.0,1.18,13.0,7.82,YAC
23,113.83,1366.0,123.5,1482.0,208.25,2499.0,185.75,2229.0,1.42,17.0,8.5,YAC
24,97.0,1843.0,111.53,2119.0,158.21,3006.0,154.16,2929.0,1.26,24.0,18.47,YAC
25,86.25,1035.0,95.67,1148.0,311.67,3740.0,186.17,2234.0,1.67,20.0,7.25,YAC
26,132.92,1728.0,179.54,2334.0,320.23,4163.0,294.62,3830.0,2.0,26.0,8.23,YAC
27,127.4,1911.0,127.4,1911.0,177.4,2661.0,146.8,2202.0,1.27,19.0,9.27,YAC
28,142.95,5432.0,151.26,5748.0,221.26,8408.0,194.76,7401.0,1.32,50.0,26.21,YAC
29,128.69,1673.0,134.54,1749.0,240.85,3131.0,229.23,2980.0,2.0,26.0,7.69,YAC
30,118.0,1298.0,143.18,1575.0,215.73,2373.0,175.18,1927.0,1.45,16.0,7.45,YAC
31,120.75,4347.0,140.94,5074.0,215.47,7757.0,192.36,6925.0,1.42,51.0,25.75,YAC
32,108.33,1300.0,121.83,1462.0,170.92,2051.0,148.5,1782.0,1.33,16.0,9.83,YAC
33,109.84,2087.0,121.16,2302.0,199.11,3783.0,140.32,2666.0,1.21,23.0,11.21,YAC
34,115.3,1153.0,149.2,1492.0,281.2,2812.0,232.0,2320.0,1.7,17.0,7.1,YAC
35,113.0,678.0,129.67,778.0,450.67,2704.0,383.83,2303.0,2.17,13.0,4.33,YAC
36,199.67,1198.0,226.5,1359.0,253.0,1518.0,253.0,1518.0,1.5,9.0,8.33,YAC
37,112.25,1347.0,218.08,2617.0,528.58,6343.0,287.58,3451.0,1.92,23.0,6.83,YAC
38,112.35,2247.0,134.35,2687.0,425.9,8518.0,196.7,3934.0,1.75,35.0,13.45,YAC
39,134.2,671.0,134.2,671.0,479.4,2397.0,327.6,1638.0,2.4,12.0,3.6,YAC
40,113.17,679.0,113.17,679.0,288.67,1732.0,204.0,1224.0,1.5,9.0,9.0,YAC
41,148.5,1188.0,160.0,1280.0,471.38,3771.0,254.25,2034.0,2.0,16.0,14.0,YAC
42,132.58,1591.0,190.08,2281.0,311.42,3737.0,295.58,3547.0,2.08,25.0,8.17,YAC
43,131.83,791.0,131.83,791.0,289.83,1739.0,276.5,1659.0,1.33,8.0,4.33,YAC
44,113.0,1808.0,122.12,1954.0,223.38,3574.0,159.38,2550.0,1.44,23.0,10.69,YAC
45,111.6,1674.0,139.73,2096.0,179.73,2696.0,149.2,2238.0,1.4,21.0,14.0,YAC
46,104.14,1458.0,134.71,1886.0,202.14,2830.0,180.79,2531.0,1.5,21.0,9.0,YAC
47,127.36,1783.0,172.5,2415.0,243.43,3408.0,204.5,2863.0,1.5,21.0,13.29,YAC
48,120.1,1201.0,163.6,1636.0,264.5,2645.0,257.9,2579.0,2.2,22.0,7.3,YAC
