sentence_id	sentence
0	Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.
1	After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.
2	With his interest in race cars, he formed a second company, the Henry Ford Company.
3	During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.
4	Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.
5	In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.
6	These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.
7	Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.
8	In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.
9	There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.
10	This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.
11	Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.
12	Henry Ford advocated long-time associate Harry Bennett to take the spot.
13	Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.
14	In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.
15	"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William."
16	He is of three quarters Irish and one quarter French descent.
17	Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.
18	When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.
19	He was married to actress Kim Basinger from 1993 to 2002.
20	Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.
21	In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.
22	He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.
23	In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.
24	He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.
25	Rosemary Clooney (May 23, 1928 - June 29, 2002) was an American popular singer and actress.
26	In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.
27	Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.
28	Rosemary Clooney was married three times, twice to Jose Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).
29	Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.
30	In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.
31	She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.
32	In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.
33	Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.
34	In 1964 she went to Reprise again, shifting the next year to Dot Records.
35	In 1966 she went to United Artists Records.
36	"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business""."
37	Michael McManus (born February 5, 1959) is a syndicated columnist who wrote Ethics & Religion.
38	On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.
39	Timothy Bush, Sr. (c. 1728 - c. 1815) - soldier.
40	He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.
41	By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.
42	The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.
43	He died in Springport, New York in 1815.
44	Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.
45	Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.
46	They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.
47	Anne Hutchinson (July 17, 1591 - August 20, 1643) was the unauthorized Puritan preacher of a dissident church discussion group, and pioneer in Rhode Island and the Bronx.
48	Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.
49	After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.
50	After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.
51	Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.
52	He coached at Winston-Salem State University from 1946 to 1993, compiling a 828-447 record.
53	He shared the honor with Tennessee Titans quarterback Steve McNair.
54	However, he posted the third lowest passer rating of his career - 35.5 - in the AFC title game against the New England Patriots, throwing four interceptions in a 24-14 loss.
55	He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.
56	His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.
57	By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.
58	He graduated in 1983 with a bachelor's degree in history.
59	Taylor was born with dual British and American citizenship.
60	Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.
61	He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.
62	He ultimately sank into a condition of mental stupor.
63	Patti was born Adela Juana Maria Patti to Italian parents in Madrid, Spain.
64	Symptoms during this time included paranoia, self-mutilation and hallucinations.
65	He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.
66	The neglected and lonely Caroline Mathilde drifted into an affair with Struensee.
67	However, it is widely believed that Louise was the daughter of Struensee - portrait comparisons have supported this.
68	Struensee was arrested and executed in that same year.
69	Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.
70	Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.
71	She died of cancer there on May 11, 1775.
72	Franklin James Schaffner (May 30, 1920 – July 2, 1989) was an American film director.
73	Talia Shire (born April 25, 1946) is an American actress of Italian descent.
74	He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.
75	In 1955 Ferrer directed himself in The Shrike.
76	The Cockleshell Heroes followed a year later, along with The Great Man.
77	In 1958 Ferrer appeared in I Accuse!
78	Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.
79	Clooney was Ferrer's third wife.
80	The two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.
81	In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.
82	He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.
83	Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.
84	He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.
85	His nephew is the actor Jack Davenport.
86	He flew a P-38 Lightning in the North African campaign of November 1942.
87	In his later years he became known as the last Australian politician to advocate, and use, capital punishment.
88	He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.
89	On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.
90	Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.
91	He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.
92	The contest between the two was bitter, although they differed little on issues.
93	At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.
94	While in the Senate he also served as chairman of the Republican National Committee from 1971 until 1973.
95	Dole studied Law at KU, but his studies were interrupted by the start of World War II.
96	Webster English Young (December 3, 1932 – December 13, 2003) was an American jazz trumpeter and cornetist.
97	He is of three quarters Irish and one quarter French descent.
98	He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.
99	He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).
100	As their desire for wealth grows, they discard spiritual and creative values.
101	Their greed leads to distrust and dishonesty, and eventually the society crumbles.
102	In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.
103	He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.
104	She died from multiple strokes and lung cancer on November 6, 2004 in Tarzana, California at the age of 70.
105	During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.
106	He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.
107	They had two children, Dolores Ethel Mae Barrymore and John Drew Barrymore (father of Drew Barrymore).
108	When she became pregnant, Barrymore proposed marriage.
